"numGeoids","profile","category","variable","base","estimate","moe","cv","percent","percent_moe","is_reliable","comparison_estimate","comparison_moe","comparison_cv","comparison_percent","comparison_percent_moe","comparison_is_reliable","difference_estimate","difference_moe","difference_reliable","difference_percent","difference_percent_moe","difference_percent_reliable"
"","demographic","hispanic_subgroup","hsposam","Hsp2","0","0","","0","0","false","3551","798","13.7","0.001","0","true","-3551","798","true","-0.1","0","true"
"","demographic","hispanic_subgroup","hspoth","Hsp2","495","207.101424427743","25.433842918884","0.04014272970562","0.0163414101285294","false","102211","3620","2.2","0.041","0.001","true","-101716","3625.9193317005825","true","-0.08572702943799992","1.6371978652221704","false"
"","demographic","hispanic_subgroup","hsppan","Hsp2","5","13","158.054711246201","0.000405482118238586","0.00105352563931547","false","23579","1676","4.3","0.009","0.001","true","-23574","1676.0504169027852","true","-0.8594517881761413","0.14525550842205848","true"
"","demographic","hispanic_subgroup","hspperu","Hsp2","130","142.144292885786","66.4691572998764","0.0105425350742032","0.011482321128603","false","42403","2970","4.3","0.017","0.001","true","-42273","2973.3995695163476","true","-0.6457464925796803","1.1525784073127643","false"
"","demographic","hispanic_subgroup","hsppr","Hsp2","917","289.991379182209","19.2242696504201","0.0743654204849566","0.022393269414066","true","718473","8715","0.7","0.288","0.003","true","-717556","8719.823392706987","true","-21.363457951504337","2.2593328994438684","true"
"","demographic","hispanic_subgroup","hspprg","Hsp2","69","108","95.1499933923616","0.00559565323169248","0.00874171843824099","false","3474","738","12.9","0.001","0","true","-3405","745.8605767836239","true","0.45956532316924803","0.874171843824099","false"
"","demographic","hispanic_subgroup","hspsalv","Hsp2","2496","640.989079470158","15.6113387369982","0.202416673424702","0.0481643049556526","true","47909","3322","4.2","0.019","0.001","true","-45413","3383.2751883345227","true","18.3416673424702","4.817468496898658","true"
"","demographic","hispanic_subgroup","hspsam","Hsp2","2875","582.511802455538","12.3168875899149","0.233152217987187","0.0415251981486243","true","396995","7557","1.2","0.159","0.003","true","-394120","7579.417457826162","true","7.415221798718699","4.163342504866145","false"
"","demographic","hispanic_subgroup","hspspam","Hsp2","0","0","","0","0","false","589","249","25.7","0","0","false","-589","249","false","0","0",""
"","demographic","hispanic_subgroup","hspspnrd","Hsp2","25","50","121.580547112462","0.00202741059119293","0.00405008891146858","false","25783","1850","4.4","0.01","0.001","true","-25758","1850.6755523321747","true","-0.797258940880707","0.4171716695893999","false"
"","demographic","hispanic_subgroup","hspspnsh","Hsp2","7","16","138.949196699957","0.00056767496553402","0.0012963835306983","false","10219","1521","9","0.004","0.001","true","-10212","1521.0841528331034","true","-0.343232503446598","0.1637256931170484","false"
"","demographic","hispanic_subgroup","hspurg","Hsp2","0","0","","0","0","false","3113","532","10.4","0.001","0","true","-3113","532","true","-0.1","0","true"
"","demographic","hispanic_subgroup","hspvnz","Hsp2","0","0","","0","0","false","12538","1390","6.7","0.005","0.001","true","-12538","1390","true","-0.5","0.1","true"
"","demographic","mutually_exclusive_race_hispanic_origin","aiannh","Pop_2","55","104.009614940158","114.959508085281","0.00194428733031674","0.00367588275629763","false","15060","925","3.7","0.002","0.001","true","-15005","930.8292002295588","true","0","0.3809476871966315",""
